Process Hacker 3.0.4365
Windows NT 10.0 (64-bit)
上午 1:42:03 2021/10/16 周六

"Name","PID","CPU","I/O total rate","Private bytes","Working set","Description","Company name","User name","File name","Command line","Package name"
"    svchost.exe","2868","","","2.27 MB","6.91 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\SYSTEM","C:\Windows\System32\svchost.exe","C:\WINDOWS\System32\svchost.exe -k netsvcs -p -s SessionEnv",""
"    svchost.exe","3076","","","2.94 MB","6.79 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\LOCAL SERVICE","C:\Windows\System32\svchost.exe","C:\WINDOWS\system32\svchost.exe -k LocalServiceAndNoImpersonation -p -s SSDPSRV",""
"    svchost.exe","3172","0.10","","4.52 MB","13.98 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\LOCAL SERVICE","C:\Windows\System32\svchost.exe","C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p",""
"      audiodg.exe","13844","0.53","","7.3 MB","13.07 MB","Windows Audio Device Graph Isolation ","Microsoft Corporation","NT AUTHORITY\LOCAL SERVICE","C:\Windows\System32\audiodg.exe","C:\WINDOWS\system32\AUDIODG.EXE 0xa58 0xa5c",""
"    svchost.exe","3260","0.13","","18.37 MB","23.89 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\SYSTEM","C:\Windows\System32\svchost.exe","C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s Winmgmt",""
"    GroupySrv.exe","3316","","","912 kB","1.02 MB","Stardock Groupy Service","Stardock Software, Inc","NT AUTHORITY\SYSTEM","D:\Program Files\Groupy\GroupySrv.exe","""D:\Program Files\Groupy\GroupySrv.exe""",""
"    svchost.exe","3540","","","10.8 MB","17.9 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\SYSTEM","C:\Windows\System32\svchost.exe","C:\WINDOWS\system32\svchost.exe -k appmodel -p -s StateRepository",""
"    svchost.exe","3556","","","9.53 MB","17.87 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\NETWORK SERVICE","C:\Windows\System32\svchost.exe","C:\WINDOWS\System32\svchost.exe -k NetworkService -p -s DoSvc",""
"    svchost.exe","3640","","","2.16 MB","6.21 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\LOCAL SERVICE","C:\Windows\System32\svchost.exe","C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -s RmSvc",""
"    svchost.exe","3656","","","4.38 MB","8.43 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\NETWORK SERVICE","C:\Windows\System32\svchost.exe","C:\WINDOWS\system32\svchost.exe -k NetworkService -p -s Dnscache",""
"    svchost.exe","3668","","","2 MB","5.39 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\LOCAL SERVICE","C:\Windows\System32\svchost.exe","C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p",""
"    svchost.exe","3724","","","3.2 MB","8.8 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\LOCAL SERVICE","C:\Windows\System32\svchost.exe","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p",""
"    svchost.exe","3828","","","3.49 MB","8.29 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\SYSTEM","C:\Windows\System32\svchost.exe","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s WwanSvc",""
"    svchost.exe","3952","","","10.99 MB","13.52 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\LOCAL SERVICE","C:\Windows\System32\svchost.exe","C:\WINDOWS\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p",""
"    svchost.exe","4136","","","5.2 MB","11.75 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\SYSTEM","C:\Windows\System32\svchost.exe","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p",""
"    svchost.exe","4228","","","2.91 MB","10.46 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\SYSTEM","C:\Windows\System32\svchost.exe","C:\WINDOWS\System32\svchost.exe -k netsvcs -p -s ShellHWDetection",""
"    spoolsv.exe","4280","","","6.02 MB","11.8 MB","Spooler SubSystem App","Microsoft Corporation","NT AUTHORITY\SYSTEM","C:\Windows\System32\spoolsv.exe","C:\WINDOWS\System32\spoolsv.exe",""
"    svchost.exe","4404","","","2.19 MB","7.39 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\LOCAL SERVICE","C:\Windows\System32\svchost.exe","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s NgcCtnrSvc",""
"    ListaryService.exe","4484","","","1.21 MB","6.01 MB","","","NT AUTHORITY\SYSTEM","D:\Program Files\Listary\ListaryService.exe","""D:\Program Files\Listary\ListaryService.exe""",""
"      ListaryHookHelper32.exe","13924","0.03","","1.22 MB","6.47 MB","","","DESKTOP-83L081J\krysl","D:\Program Files\Listary\ListaryHookHelper32.exe","""D:\Program Files\Listary\ListaryHookHelper32.exe""",""
"      ListaryHookHelper64.exe","13944","","","1.5 MB","6.71 MB","","","DESKTOP-83L081J\krysl","D:\Program Files\Listary\ListaryHookHelper64.exe","""D:\Program Files\Listary\ListaryHookHelper64.exe""",""
"    svchost.exe","4640","","","1.68 MB","5.05 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\SYSTEM","C:\Windows\System32\svchost.exe","C:\WINDOWS\system32\svchost.exe -k AssignedAccessManagerSvc -s AssignedAccessManagerSvc",""
"    OfficeClickToRun.exe","4664","","","35.64 MB","37.66 MB","Microsoft Office Click-to-Run (SxS)","Microsoft Corporation","NT AUTHORITY\SYSTEM","C:\Program Files\Common Files\microsoft shared\ClickToRun\OfficeClickToRun.exe","""C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe"" /service",""
"    svchost.exe","4672","","","7.21 MB","15.41 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\NETWORK SERVICE","C:\Windows\System32\svchost.exe","C:\WINDOWS\system32\svchost.exe -k NetworkService -p -s CryptSvc",""
"    DeveloperToolsSvc.exe","4748","","","1.29 MB","4.39 MB","Developer Tools Service","Microsoft Corporation","NT AUTHORITY\SYSTEM","C:\Windows\System32\DeveloperToolsSvc.exe","C:\WINDOWS\System32\DeveloperToolsSvc.exe",""
"    svchost.exe","4824","0.09","","41.48 MB","50.91 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\SYSTEM","C:\Windows\System32\svchost.exe","C:\WINDOWS\System32\svchost.exe -k utcsvc -p",""
"    svchost.exe","4836","","2.02 kB/s","45.3 MB","40.55 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\LOCAL SERVICE","C:\Windows\System32\svchost.exe","C:\WINDOWS\System32\svchost.exe -k LocalServiceNoNetwork -p -s DPS",""
"    Everything.exe","4852","0.02","4.72 kB/s","1.74 MB","5.41 MB","Everything","voidtools","NT AUTHORITY\SYSTEM","D:\Program Files\Everything\Everything.exe","""D:\Program Files\Everything\Everything.exe"" -svc",""
"    svchost.exe","4864","","","2.57 MB","8.77 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\SYSTEM","C:\Windows\SysWOW64\svchost.exe","C:\WINDOWS\SysWOW64\svchost.exe -k HCloverService -s HCloverService",""
"    OneApp.IGCC.WinService.exe","4892","","","20.8 MB","29.07 MB","Intel® Graphics Command Center Service","Intel Corporation","NT AUTHORITY\SYSTEM","C:\Windows\System32\DriverStore\FileRepository\igcc_dch.inf_amd64_553b9a82ff9cf770\OneApp.IGCC.WinService.exe","C:\WINDOWS\System32\DriverStore\FileRepository\igcc_dch.inf_amd64_553b9a82ff9cf770\OneApp.IGCC.WinService.exe",""
"    svchost.exe","4924","","","2.76 MB","5.55 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\SYSTEM","C:\Windows\System32\svchost.exe","C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s IKEEXT",""
"    svchost.exe","4972","","","6.02 MB","21.99 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\SYSTEM","C:\Windows\System32\svchost.exe","C:\WINDOWS\System32\svchost.exe -k netsvcs -p",""
"    SocketHeciServer.exe","4980","","","1.55 MB","5.17 MB","Intel(R) Capability Licensing Service TCP IP Interface","Intel(R) Corporation","NT AUTHORITY\SYSTEM","C:\Program Files\Intel\Intel(R) Management Engine Components\iCLS\SocketHeciServer.exe","""C:\Program Files\Intel\Intel(R) Management Engine Components\iCLS\SocketHeciServer.exe""",""
"    IPROSetMonitor.exe","5040","","","2.68 MB","8.11 MB","Intel® PROSet Monitoring Service","Intel Corporation","NT AUTHORITY\SYSTEM","C:\Windows\System32\IPROSetMonitor.exe","C:\WINDOWS\system32\IProsetMonitor.exe",""
"    IpOverUsbSvc.exe","5048","","","6.86 MB","13.09 MB","Windows IP Over USB PC Service","Microsoft Corporation","NT AUTHORITY\SYSTEM","C:\Program Files (x86)\Common Files\Microsoft Shared\Phone Tools\CoreCon\11.0\bin\IpOverUsbSvc.exe","""C:\Program Files (x86)\Common Files\Microsoft Shared\Phone Tools\CoreCon\11.0\bin\IpOverUsbSvc.exe""",""
"    jhi_service.exe","5072","","","1.36 MB","6.16 MB","Intel(R) Dynamic Application Loader Host Interface","Intel Corporation","NT AUTHORITY\SYSTEM","D:\Program Files\Intel\Intel Management Engine Interface\DAL\jhi_service.exe","""D:\Program Files\Intel\Intel Management Engine Interface\DAL\jhi_service.exe""",""
"    svchost.exe","4188","","","4.44 MB","18.47 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\LOCAL SERVICE","C:\Windows\System32\svchost.exe","C:\WINDOWS\System32\svchost.exe -k LocalService -p -s LicenseManager",""
"    svchost.exe","5128","","","1.34 MB","4.49 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\SYSTEM","C:\Windows\System32\svchost.exe","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s Netman",""
"    nvcontainer.exe","5164","0.02","512 B/s","12.1 MB","31.61 MB","NVIDIA Container","NVIDIA Corporation","NT AUTHORITY\SYSTEM","C:\Program Files\NVIDIA Corporation\NvContainer\nvcontainer.exe","""C:\Program Files\NVIDIA Corporation\NvContainer\nvcontainer.exe"" -s NvContainerLocalSystem -a -f ""C:\ProgramData\NVIDIA\NvContainerLocalSystem.log"" -l 3 -d ""C:\Program Files\NVIDIA Corporation\NvContainer\plugins\LocalSystem"" -r -p 30000 -st ""C:\Program Files\NVIDIA Corporation\NvContainer\NvContainerTelemetryApi.dll""",""
"      rundll32.exe","7116","","","3.73 MB","6.09 MB","Windows host process (Rundll32)","Microsoft Corporation","NT AUTHORITY\SYSTEM","C:\Windows\System32\rundll32.exe","rundll32.exe ""c:\program files\nvidia corporation\nvstreamsrv\rxdiag.dll"" RxDiagSetRuntimeMessagePump",""
"      nvcontainer.exe","6912","","","71.75 MB","37.43 MB","NVIDIA Container","NVIDIA Corporation","DESKTOP-83L081J\krysl","C:\Program Files\NVIDIA Corporation\NvContainer\nvcontainer.exe","""C:\Program Files\NVIDIA Corporation\NvContainer\nvcontainer.exe"" -f ""C:\ProgramData\NVIDIA\NvContainerUser%d.log"" -d ""C:\Program Files\NVIDIA Corporation\NvContainer\plugins\User"" -r -l 3 -p 30000 -st ""C:\Program Files\NVIDIA Corporation\NvContainer\NvContainerTelemetryApi.dll"" -c",""
"    QQProtect.exe","5232","","","16.62 MB","17.84 MB","QQ安全防护进程（Q盾）","Tencent","NT AUTHORITY\SYSTEM","C:\Program Files (x86)\Common Files\Tencent\QQProtect\Bin\QQProtect.exe","""C:\Program Files (x86)\Common Files\Tencent\QQProtect\Bin\QQProtect.exe""",""
"    svchost.exe","5264","","","2.55 MB","7.82 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\SYSTEM","C:\Windows\System32\svchost.exe","C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s LanmanServer",""
"    svchost.exe","5292","","","1.69 MB","4.13 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\LOCAL SERVICE","C:\Windows\System32\svchost.exe","C:\WINDOWS\system32\svchost.exe -k LocalService -p -s SstpSvc",""
"    RtkAudUService64.exe","5300","","","2.57 MB","7.4 MB","Realtek HD Audio Universal Service","Realtek Semiconductor","NT AUTHORITY\SYSTEM","C:\Windows\System32\RtkAudUService64.exe","""C:\WINDOWS\System32\RtkAudUService64.exe""",""
"    RstMwService.exe","5308","","","1.48 MB","4.68 MB","Intel(R) Rapid Storage Technology Management Service","Intel Corporation","NT AUTHORITY\SYSTEM","C:\Windows\System32\DriverStore\FileRepository\iaahcic.inf_amd64_120314e52c04567c\RstMwService.exe","C:\WINDOWS\System32\DriverStore\FileRepository\iaahcic.inf_amd64_120314e52c04567c\RstMwService.exe",""
"    svchost.exe","5332","","","1.32 MB","4.15 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\LOCAL SERVICE","C:\Windows\System32\svchost.exe","C:\WINDOWS\system32\svchost.exe -k LocalService -p -s SharedRealitySvc",""
"    svchost.exe","5340","","","4.76 MB","21.24 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\SYSTEM","C:\Windows\System32\svchost.exe","C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s TokenBroker",""
"    svchost.exe","5376","","","1.32 MB","3.51 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\SYSTEM","C:\Windows\System32\svchost.exe","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s TrkWks",""
"    StandardCollector.Service.exe","5404","","","1.24 MB","4.66 MB","Microsoft (R) Visual Studio Standard Collector","Microsoft Corporation","NT AUTHORITY\SYSTEM","C:\Program Files (x86)\Microsoft Visual Studio\Shared\Common\DiagnosticsHub.Collection.Service\StandardCollector.Service.exe","""C:\Program Files (x86)\Microsoft Visual Studio\Shared\Common\DiagnosticsHub.Collection.Service\StandardCollector.Service.exe""",""
"    pdf24.exe","5428","","","2.31 MB","6.35 MB","PDF24 Backend","geek software GmbH","NT AUTHORITY\SYSTEM","D:\Program Files\PDF24\pdf24.exe","""D:\Program Files\PDF24\pdf24.exe"" -service",""
"    svchost.exe","5544","","","1.28 MB","3.38 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\LOCAL SERVICE","C:\Windows\System32\svchost.exe","C:\WINDOWS\System32\svchost.exe -k LocalService -p -s WdiServiceHost",""
"    svchost.exe","5612","","","4.23 MB","17.89 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\SYSTEM","C:\Windows\System32\svchost.exe","C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s WpnService",""
"    svchost.exe","5908","","","2.31 MB","4.73 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\NETWORK SERVICE","C:\Windows\System32\svchost.exe","C:\WINDOWS\System32\svchost.exe -k NetworkService -p -s TapiSrv",""
"    svchost.exe","6240","","","4 MB","11.25 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\SYSTEM","C:\Windows\System32\svchost.exe","C:\WINDOWS\System32\svchost.exe -k netsvcs",""
"    svchost.exe","6564","","","2.54 MB","5.99 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\LOCAL SERVICE","C:\Windows\System32\svchost.exe","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s Dhcp",""
"    svchost.exe","7012","","","2.07 MB","5.49 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\NETWORK SERVICE","C:\Windows\System32\svchost.exe","C:\WINDOWS\system32\svchost.exe -k NetworkServiceNetworkRestricted -p -s PolicyAgent",""
"    svchost.exe","7196","","","5.29 MB","10.03 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\NETWORK SERVICE","C:\Windows\System32\svchost.exe","C:\WINDOWS\System32\svchost.exe -k NetworkService -p -s NlaSvc",""
"    svchost.exe","7204","","","2.36 MB","6.77 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\LOCAL SERVICE","C:\Windows\System32\svchost.exe","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s WinHttpAutoProxySvc",""
"    svchost.exe","7344","","","3.66 MB","8.18 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\LOCAL SERVICE","C:\Windows\System32\svchost.exe","C:\WINDOWS\System32\svchost.exe -k LocalService -p -s netprofm",""
"    svchost.exe","7512","","","3.47 MB","8.4 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\SYSTEM","C:\Windows\System32\svchost.exe","C:\WINDOWS\system32\svchost.exe -k NetSvcs -p -s hns",""
"    svchost.exe","7584","","","1.48 MB","5.02 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\SYSTEM","C:\Windows\System32\svchost.exe","C:\WINDOWS\system32\svchost.exe -k NetSvcs -s nvagent",""
"    svchost.exe","7704","","","1.55 MB","4.29 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\SYSTEM","C:\Windows\System32\svchost.exe","C:\WINDOWS\System32\svchost.exe -k netsvcs -p -s SharedAccess",""
"    svchost.exe","6980","","","4.66 MB","11.88 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\SYSTEM","C:\Windows\System32\svchost.exe","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s StorSvc",""
"    svchost.exe","9008","","","2.71 MB","9.35 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\SYSTEM","C:\Windows\System32\svchost.exe","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s NcbService",""
"    svchost.exe","932","","","3.29 MB","13.4 MB","Host Process for Windows Services","Microsoft Corporation","DESKTOP-83L081J\krysl","C:\Windows\System32\svchost.exe","C:\WINDOWS\system32\svchost.exe -k UnistackSvcGroup -s CDPUserSvc",""
"    svchost.exe","1592","","","10.48 MB","39.12 MB","Host Process for Windows Services","Microsoft Corporation","DESKTOP-83L081J\krysl","C:\Windows\System32\svchost.exe","C:\WINDOWS\system32\svchost.exe -k UnistackSvcGroup -s WpnUserService",""
"    svchost.exe","7724","","","1.84 MB","7.38 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\SYSTEM","C:\Windows\System32\svchost.exe","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s TabletInputService",""
"      ctfmon.exe","8532","0.01","","18.95 MB","40.82 MB","CTF Loader","Microsoft Corporation","DESKTOP-83L081J\krysl","C:\Windows\System32\ctfmon.exe","""ctfmon.exe""",""
"      TabTip.exe","14296","","","4.5 MB","16.71 MB","Touch Keyboard and Handwriting Panel","Microsoft Corporation","DESKTOP-83L081J\krysl","C:\Program Files\Common Files\microsoft shared\ink\TabTip.exe","/QuitInfo:0000000000000294;0000000000000290;  ",""
"    svchost.exe","9624","","","4.33 MB","13.73 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\LOCAL SERVICE","C:\Windows\System32\svchost.exe","C:\WINDOWS\system32\svchost.exe -k LocalService -p -s CDPSvc",""
"    svchost.exe","9796","","","2.06 MB","5.92 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\SYSTEM","C:\Windows\System32\svchost.exe","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s WdiSystemHost",""
"    svchost.exe","9252","","234 B/s","7.16 MB","11.54 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\SYSTEM","C:\Windows\System32\svchost.exe","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s PcaSvc",""
"    svchost.exe","10120","","","9.13 MB","33.47 MB","Host Process for Windows Services","Microsoft Corporation","DESKTOP-83L081J\krysl","C:\Windows\System32\svchost.exe","C:\WINDOWS\system32\svchost.exe -k ClipboardSvcGroup -p -s cbdhsvc",""
"    SearchIndexer.exe","10880","","824 B/s","41.33 MB","43.64 MB","Microsoft Windows Search Indexer","Microsoft Corporation","NT AUTHORITY\SYSTEM","C:\Windows\System32\SearchIndexer.exe","C:\WINDOWS\system32\SearchIndexer.exe /Embedding",""
"    svchost.exe","14160","","","1.86 MB","8.52 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\SYSTEM","C:\Windows\System32\svchost.exe","C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s Appinfo",""
"    svchost.exe","3884","","","7.07 MB","22.44 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\SYSTEM","C:\Windows\System32\svchost.exe","C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s UsoSvc",""
"    IAStorDataMgrSvc.exe","15828","","","89.18 MB","71.79 MB","IAStorDataSvc","Intel Corporation","NT AUTHORITY\SYSTEM","D:\Program Files\Intel\Intel(R) Rapid Storage Technology\IAStorDataMgrSvc.exe","""D:\Program Files\Intel\Intel(R) Rapid Storage Technology\IAStorDataMgrSvc.exe""",""
"    SgrmBroker.exe","14668","","","7.91 MB","8.3 MB","System Guard Runtime Monitor Broker Service","Microsoft Corporation","NT AUTHORITY\SYSTEM","C:\Windows\System32\SgrmBroker.exe","C:\WINDOWS\system32\SgrmBroker.exe",""
"    svchost.exe","14420","","","3.14 MB","10.18 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\LOCAL SERVICE","C:\Windows\System32\svchost.exe","C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s wscsvc",""
"    WTabletServicePro.exe","5684","1.20","2.47 kB/s","2.16 MB","9.16 MB","Tablet Service","Wacom Co. Ltd.","NT AUTHORITY\SYSTEM","C:\Program Files\Tablet\Wacom\WTabletServicePro.exe","""C:\Program Files\Tablet\Wacom\WTabletServicePro.exe""",""
"      Wacom_TabletUser.exe","14556","","","2.27 MB","9.57 MB","Tablet user module for professional driver","Wacom Co. Ltd.","DESKTOP-83L081J\krysl","C:\Program Files\Tablet\Wacom\Wacom_TabletUser.exe","""C:\Program Files\Tablet\Wacom\Wacom_TabletUser.exe"" ",""
"      WacomHost.exe","16276","","","2.12 MB","12.17 MB","Wacom Load Agent","Wacom Technology","NT AUTHORITY\SYSTEM","C:\Program Files\Tablet\Wacom\WacomHost.exe","""C:\Program Files\Tablet\Wacom\WacomHost.exe"" ""C:\Program Files\Tablet\Wacom\Wacom_Tablet.exe"" au",""
"        Wacom_Tablet.exe","13440","","","14.01 MB","31.01 MB","Tablet Service for professional driver","Wacom Co. Ltd.","NT AUTHORITY\SYSTEM","C:\Program Files\Tablet\Wacom\Wacom_Tablet.exe","""C:\Program Files\Tablet\Wacom\Wacom_Tablet.exe"" au",""
"      Wacom_TouchUser.exe","13728","","548 B/s","5.73 MB","13.81 MB","Touch User Mode Driver","Wacom Co. Ltd.","DESKTOP-83L081J\krysl","C:\Program Files\Tablet\Wacom\Wacom_TouchUser.exe","""C:\Program Files\Tablet\Wacom\Wacom_TouchUser.exe"" ",""
"    svchost.exe","16184","","","5.36 MB","18.55 MB","Host Process for Windows Services","Microsoft Corporation","DESKTOP-83L081J\krysl","C:\Windows\System32\svchost.exe","C:\WINDOWS\system32\svchost.exe -k UnistackSvcGroup",""
"    SecurityHealthService.exe","16752","","","2.91 MB","10.58 MB","Windows Security Health Service","Microsoft Corporation","NT AUTHORITY\SYSTEM","C:\Windows\System32\SecurityHealthService.exe","C:\WINDOWS\system32\SecurityHealthService.exe",""
"    svchost.exe","16576","","","4.96 MB","5.86 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\SYSTEM","C:\Windows\System32\svchost.exe","C:\WINDOWS\system32\svchost.exe -k SDRSVC",""
"    svchost.exe","4700","","","2.66 MB","11.29 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\SYSTEM","C:\Windows\System32\svchost.exe","C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s lfsvc",""
"    svchost.exe","17356","","","2.55 MB","9.65 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\SYSTEM","C:\Windows\System32\svchost.exe","C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s LxssManager",""
"    svchost.exe","16480","","","6.33 MB","8.9 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\SYSTEM","C:\Windows\System32\svchost.exe","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s DsSvc",""
"    svchost.exe","7180","","","1.33 MB","5.11 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\LOCAL SERVICE","C:\Windows\System32\svchost.exe","C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s lmhosts",""
"    svchost.exe","19372","","","1.8 MB","8.32 MB","Host Process for Windows Services","Microsoft Corporation","DESKTOP-83L081J\krysl","C:\Windows\System32\svchost.exe","C:\WINDOWS\system32\svchost.exe -k UdkSvcGroup -s UdkUserSvc",""
"    svchost.exe","4148","","","1.63 MB","7.49 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\SYSTEM","C:\Windows\System32\svchost.exe","C:\WINDOWS\system32\svchost.exe -k wsappx -p -s AppXSvc",""
"    svchost.exe","18476","","","3.84 MB","9.16 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\SYSTEM","C:\Windows\System32\svchost.exe","C:\WINDOWS\System32\svchost.exe -k wsappx -p -s ClipSVC",""
"  LsaIso.exe","916","","","812 kB","1.97 MB","Credential Guard & Key Guard","Microsoft Corporation","NT AUTHORITY\SYSTEM","C:\Windows\System32\LsaIso.exe","\??\C:\WINDOWS\system32\lsaiso.exe",""
"  lsass.exe","936","","","11.97 MB","24.68 MB","Local Security Authority Process","Microsoft Corporation","NT AUTHORITY\SYSTEM","C:\Windows\System32\lsass.exe","C:\WINDOWS\system32\lsass.exe",""
"  fontdrvhost.exe","696","","","2.02 MB","1.98 MB","Usermode Font Driver Host","Microsoft Corporation","Font Driver Host\UMFD-0","C:\Windows\System32\fontdrvhost.exe","""fontdrvhost.exe""",""
"csrss.exe","832","0.15","940 B/s","4.48 MB","6.41 MB","Client Server Runtime Process","Microsoft Corporation","NT AUTHORITY\SYSTEM","C:\Windows\System32\csrss.exe","%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16",""
"winlogon.exe","1108","","","2.85 MB","11.29 MB","Windows Logon Application","Microsoft Corporation","NT AUTHORITY\SYSTEM","C:\Windows\System32\winlogon.exe","winlogon.exe",""
"  fontdrvhost.exe","1160","","","17.36 MB","36.21 MB","Usermode Font Driver Host","Microsoft Corporation","Font Driver Host\UMFD-1","C:\Windows\System32\fontdrvhost.exe","""fontdrvhost.exe""",""
"  dwm.exe","1228","1.49","","266.48 MB","124.88 MB","Desktop Window Manager","Microsoft Corporation","Window Manager\DWM-1","C:\Windows\System32\dwm.exe","""dwm.exe""",""
"GroupyHelp64.exe","5792","","","1.13 MB","1.19 MB","Groupy","Stardock Software, Inc","NT AUTHORITY\SYSTEM","D:\Program Files\Groupy\GroupyHelp64.exe","""D:\Program Files\Groupy\GroupyHelp64.exe"" ",""
"GroupyHelp32.exe","8744","","","1.13 MB","1.5 MB","Groupy","Stardock Software, Inc","NT AUTHORITY\SYSTEM","D:\Program Files\Groupy\GroupyHelp32.exe","""D:\Program Files\Groupy\GroupyHelp32.exe"" ",""
